date,active_addresses,n_transactions,hash_rate,miners_revenue,mempool_size
2009-04-06,109.0,109.0,5.71668100740741e-06,0.0,
2009-04-07,100.0,100.0,4.92131669333333e-06,0.0,
2009-04-08,105.0,105.0,5.16986804148148e-06,0.0,
2009-04-09,99.0,99.0,4.92131669333333e-06,0.0,
2009-04-10,108.0,108.0,5.12015777185185e-06,0.0,
2009-04-11,121.0,121.0,6.06465289481481e-06,0.0,
2009-04-12,120.0,120.0,5.71668100740741e-06,0.0,
2009-04-13,117.0,116.0,5.71668100740741e-06,0.0,
2009-04-14,124.0,124.0,6.31320424296296e-06,0.0,
2009-04-15,113.0,113.0,5.56755019851852e-06,0.0,
2009-04-16,123.0,123.0,6.11436316444444e-06,0.0,
2009-04-17,112.0,112.0,5.71668100740741e-06,0.0,
2009-04-18,129.0,130.0,6.06465289481481e-06,0.0,
2009-04-19,120.0,120.0,5.91552208592593e-06,0.0,
2009-04-20,121.0,121.0,5.81610154666667e-06,0.0,
2009-04-21,125.0,124.0,6.11436316444444e-06,0.0,
2009-04-22,121.0,121.0,6.01494262518519e-06,0.0,
2009-04-23,75.0,75.0,3.97682157037037e-06,0.0,
2009-04-24,115.0,115.0,5.61726046814815e-06,0.0,
2009-04-25,118.0,118.0,6.06465289481481e-06,0.0,
2009-04-26,113.0,114.0,5.41841938962963e-06,0.0,
2009-04-27,104.0,104.0,5.21957831111111e-06,0.0,
2009-04-28,117.0,117.0,5.81610154666667e-06,0.0,
2009-04-29,129.0,129.0,6.11436316444444e-06,0.0,
2009-04-30,131.0,131.0,6.56175559111111e-06,0.0,
2009-05-01,121.0,121.0,6.11436316444444e-06,0.0,
2009-05-02,130.0,128.0,6.11436316444444e-06,0.0,
2009-05-03,110.0,109.0,5.66697073777778e-06,0.0,
2009-05-04,129.0,129.0,6.06465289481481e-06,0.0,
2009-05-05,136.0,136.0,6.56175559111111e-06,0.0,
2009-05-06,135.0,135.0,6.81030693925926e-06,0.0,
2009-05-07,122.0,122.0,6.01494262518519e-06,0.0,
2009-05-08,108.0,108.0,6.06465289481481e-06,0.0,
2009-05-09,77.0,77.0,4.5236345362963e-06,0.0,
2009-05-10,85.0,85.0,3.08203671703704e-06,0.0,
2009-05-11,122.0,121.0,5.91552208592593e-06,0.0,
2009-05-12,130.0,130.0,6.31320424296296e-06,0.0,
2009-05-13,116.0,116.0,5.71668100740741e-06,0.0,
2009-05-14,143.0,142.0,6.61146586074074e-06,0.0,
2009-05-15,137.0,137.0,7.10856855703704e-06,0.0,
2009-05-16,119.0,119.0,5.66697073777778e-06,0.0,
2009-05-17,127.0,127.0,6.2137837037037e-06,0.0,
2009-05-18,118.0,118.0,6.16407343407407e-06,0.0,
2009-05-19,86.0,86.0,4.97102696296296e-06,0.0,
2009-05-20,120.0,120.0,5.16986804148148e-06,0.0,
2009-05-21,82.0,82.0,4.42421399703704e-06,0.0,
2009-05-22,62.0,62.0,4.12595237925926e-06,0.0,
2009-05-23,31.0,31.0,3.47971887407407e-07,0.0,
2009-05-24,100.0,100.0,4.77218588444444e-06,0.0,
2009-05-25,109.0,109.0,5.56755019851852e-06,0.0,
2009-05-26,125.0,125.0,5.61726046814815e-06,0.0,
2009-05-27,119.0,119.0,6.2137837037037e-06,0.0,
2009-05-28,95.0,95.0,5.12015777185185e-06,0.0,
2009-05-29,107.0,107.0,5.31899885037037e-06,0.0,
2009-05-30,109.0,109.0,5.12015777185185e-06,0.0,
2009-05-31,97.0,97.0,5.8658118162963e-06,0.0,
2009-06-01,73.0,72.0,3.62884968296296e-06,0.0,
2009-06-02,110.0,110.0,4.42421399703704e-06,0.0,
2009-06-03,72.0,72.0,4.8716064237037e-06,0.0,
2009-06-04,65.0,65.0,1.93870051555556e-06,0.0,
2009-06-05,31.0,31.0,2.83348536888889e-06,0.0,
2009-06-06,31.0,27.0,1.19304647111111e-06,0.0,
2009-06-07,16.0,16.0,1.98841078518519e-07,0.0,
2009-06-08,82.0,82.0,3.57913941333333e-06,0.0,
2009-06-09,91.0,91.0,4.67276534518518e-06,0.0,
2009-06-10,82.0,82.0,4.12595237925926e-06,0.0,
2009-06-11,89.0,89.0,4.62305507555556e-06,0.0,
2009-06-12,86.0,86.0,4.5236345362963e-06,0.0,
2009-06-13,78.0,78.0,3.67855995259259e-06,0.0,
2009-06-14,72.0,72.0,3.47971887407407e-06,0.0,
2009-06-15,84.0,84.0,4.07624210962963e-06,0.0,
2009-06-16,71.0,71.0,3.62884968296296e-06,0.0,
2009-06-17,79.0,79.0,3.82769076148148e-06,0.0,
2009-06-18,80.0,80.0,4.02653184e-06,0.0,
2009-06-19,87.0,87.0,4.32479345777778e-06,0.0,
2009-06-20,78.0,78.0,4.17566264888889e-06,0.0,
2009-06-21,81.0,81.0,3.72827022222222e-06,0.0,
2009-06-22,77.0,77.0,3.97682157037037e-06,0.0,
2009-06-23,76.0,76.0,3.77798049185185e-06,0.0,
2009-06-24,98.0,97.0,4.22537291851852e-06,0.0,
2009-06-25,69.0,69.0,3.67855995259259e-06,0.0,
2009-06-26,90.0,90.0,4.42421399703704e-06,0.0,
2009-06-27,84.0,84.0,4.22537291851852e-06,0.0,
2009-06-28,48.0,47.0,2.53522375111111e-06,0.0,
2009-06-29,85.0,84.0,3.77798049185185e-06,0.0,
2009-06-30,86.0,86.0,4.32479345777778e-06,0.0,
2009-07-01,75.0,75.0,4.12595237925926e-06,0.0,
2009-07-02,85.0,84.0,3.57913941333333e-06,0.0,
