date,ret_lag1,ret_lag2,ret_lag3,ret_lag5,ret_lag10,ret_mean5,ret_std5,ret_mean10,ret_std10,ret_mean20,ret_std20,rsi14,macd,macd_hist,bb_pctb,bb_width,momentum10,momentum20,parkinson,garman_klass,vol_change,vol_ratio,dow,month,target_return,target_direction
2014-12-18,-0.027400657589190303,-0.0592654921635134,0.0,-0.008584473269320547,-0.03307201120905123,-0.02370390848125936,0.023783585591819596,-0.015528037797043214,0.022584575759184156,-0.009339281794406684,0.020950415749418614,16.947563358279126,-12.72322069833234,-4.859027128950881,-0.0759618335590414,0.22189169303642023,-0.1438249088066701,-0.17037844158605286,0.039289528954648906,0.04263299459538298,-0.11111214574551909,2.2529030062627755,3,12,0.01850347156455978,1
2014-12-19,-0.028204689879851585,-0.027400657589190303,-0.0592654921635134,-0.003648702773741519,-0.03949611378888296,-0.0192734736135991,0.02976467563737295,-0.009728079261698941,0.023184878531208646,-0.008472541157756109,0.021751292512329466,23.816969470013234,-13.769690903598814,-4.724397867373883,0.06440537641048621,0.23912950513541703,-0.09269879311820595,-0.1558717349755787,0.024692077638493393,0.024979538062772505,-0.30601130158973255,1.5992051233899114,4,12,0.03701096819090033,1
2014-12-20,0.01850347156455978,-0.028204689879851585,-0.027400657589190303,0.0,-0.006756202161668057,-0.011871279975419036,0.038943076772439626,-0.005351362226442102,0.027531794379455708,-0.006171359081668682,0.0240085564726853,35.61218343558194,-13.476188176629876,-3.544716112323954,0.23417181444535265,0.24329776788304677,-0.052106971533622426,-0.11611399796432198,0.030482120067098682,0.026217288357208525,-0.323572136356189,1.1131156599095005,5,12,-0.02094573926217258,0
2014-12-21,0.03701096819090033,0.01850347156455978,-0.028204689879851585,-0.0592654921635134,0.002438640734585995,-0.004207329395150871,0.030036255941567426,-0.0076898002261179595,0.02778851649710736,-0.007890439902915335,0.023760359195975654,32.51899553263067,-13.638302129270926,-2.9654640519720026,0.18795505503920254,0.24623252877926272,-0.07401570290561077,-0.14598694468669893,0.02617318902672229,0.02510095223594988,-0.5367827760605337,0.6548467742494437,6,12,0.022550560124078523,1
2014-12-22,-0.02094573926217258,0.03701096819090033,0.01850347156455978,-0.027400657589190303,0.015637312921150226,0.005782914147502894,0.02866939148529562,-0.006998475505825131,0.028509960695295163,-0.006876422319782938,0.02463351352975885,38.697481800493485,-13.02197201092116,-1.8793071468977907,0.29474282790980955,0.23951867376238048,-0.06759196569623116,-0.1284904416611734,0.02588575264349182,0.026082043090412944,0.5916286054185278,1.161191496464698,0,12,0.014924977875223178,1
2014-12-23,0.022550560124078523,-0.02094573926217258,0.03701096819090033,-0.028204689879851585,-0.008584473269320547,0.014408847698517847,0.021471623635029285,-0.004647530391370757,0.029322372420993368,-0.005788866142421778,0.025111365367245467,42.519515827008796,-11.994226510665044,-0.6812493173133376,0.37297890658004906,0.2292092778041483,-0.04541186513017492,-0.10932646613746777,0.020727221794085083,0.022572718943948276,-0.38337578903089486,0.7961848317695265,1,12,-0.04060591604567332,0
2014-12-24,0.014924977875223178,0.022550560124078523,-0.02094573926217258,0.01850347156455978,-0.003648702773741519,0.002586970176471226,0.0322304081210231,-0.008343251718563937,0.03143536225429713,-0.006272945752913994,0.02570764970184347,36.02268098521616,-12.117283722593527,-0.6434452233934547,0.23284736865976977,0.23171577571059968,-0.0800468343947226,-0.11790799561883902,0.02936207355750614,0.020237498608769666,-0.3547867800869824,0.5712309021685127,2,12,-0.008573307075568692,0
2014-12-25,-0.04060591604567332,0.014924977875223178,0.022550560124078523,0.03701096819090033,0.0,-0.006529884876822578,0.02588026153906672,-0.009200582426120808,0.031299149646483594,-0.008018987858021687,0.024534620486520328,34.841684062824044,-12.294980584103428,-0.6569136679226837,0.22240117702091722,0.22451876168967266,-0.08790016277807933,-0.14817975730097344,0.014244855788323333,0.016506934327601443,-0.37499044515233315,0.4057805468985345,3,12,0.03534284529304532,1
2014-12-26,-0.008573307075568692,-0.04060591604567332,0.014924977875223178,-0.02094573926217258,-0.0592654921635134,0.004727832034221002,0.029962390897986396,0.0002602513195350653,0.028673020481255872,-0.006267845166850661,0.026344263761357296,43.21804013334723,-11.377506836464647,0.2084480637728774,0.391838860934138,0.2057219044006334,0.00260590267256533,-0.11781800730530301,0.02844827620158395,0.024606264217726742,0.4986792231105266,0.6553701119488475,4,12,-0.04636172016023021,0
2014-12-27,0.03534284529304532,-0.008573307075568692,-0.04060591604567332,0.022550560124078523,-0.027400657589190303,-0.009054624022640744,0.03512012138846791,-0.0016358549375689257,0.031219312194871417,-0.008825312433766053,0.027664215000650003,36.6064079867084,-11.724813651431873,-0.11108700095547874,0.18707299361495672,0.1855379079385449,-0.01622547492992843,-0.16180645846047714,0.03616048087458477,0.03118680377417594,0.2847123090346191,0.84661922159708,5,12,0.002339848028894309,1
