series,ADF_stat,ADF_p,KPSS_stat,KPSS_p,ADF_says,KPSS_says
price,-1.2897,0.6338,7.7079,0.01,non-stationary,non-stationary
log returns,-67.8528,0.0,0.184,0.1,stationary,stationary
